Ser No,0 to 9,S/B,R/G
2100051171,3,S,G
2100051172,6,B,R
2100051173,6,B,R
2100051174,9,B,G
2100051175,1,S,G
2100051176,1,S,G
2100051177,5,B,G/V
2100051178,2,S,R
2100051179,0,S,R/V
2100051180,0,S,R/V
2100051181,0,S,R/V
2100051182,0,S,R/V
2100051183,0,S,R/V
2100051184,5,B,G/V
2100051185,8,B,R
2100051186,2,S,R
2100051187,1,S,G
2100051188,4,S,R
2100051189,1,S,G
2100051190,4,S,R
2100051191,5,B,G/V
2100051192,1,S,G
2100051193,2,S,R
2100051194,5,B,G/V
2100051195,7,B,G
2100051196,8,B,R
2100051197,0,S,R/V
2100051198,4,S,R
2100051199,0,S,R/V
2100051200,7,B,G
2100051201,1,S,G
2100051202,7,B,G
2100051203,6,B,R
2100051204,7,B,G
2100051205,6,B,R
2100051206,7,B,G
2100051207,4,S,R
2100051208,7,B,G
2100051209,8,B,R
2100051210,8,B,R
2100051211,6,B,R
2100051212,7,B,G
2100051213,2,S,R
2100051214,9,B,G
2100051215,5,B,G/V
2100051216,4,S,R
2100051217,5,B,G/V
2100051218,9,B,G
2100051219,3,S,G
2100051220,3,S,G
2100051221,7,B,G
2100051222,3,S,G
2100051223,8,B,R
2100051224,7,B,G
2100051225,0,S,R/V
2100051226,0,S,R/V
2100051227,5,B,G/V
2100051228,4,S,R
2100051229,4,S,R
2100051230,8,B,R
2100051231,9,B,G
2100051232,5,B,G/V
2100051233,5,B,G/V
2100051234,1,S,G
2100051235,4,S,R
2100051236,1,S,G
2100051237,9,B,G
2100051238,4,S,R
2100051239,3,S,G
2100051240,0,S,R/V
2100051241,2,S,R
2100051242,4,S,R
2100051243,2,S,R
2100051244,5,B,G/V
2100051245,6,B,R
2100051246,3,S,G
2100051247,6,B,R
2100051248,4,S,R
2100051249,3,S,G
2100051250,0,S,R/V
2100051251,4,S,R
2100051252,1,S,G
2100051253,2,S,R
2100051254,2,S,R
2100051255,2,S,R
2100051256,2,S,R
2100051257,8,B,R
2100051258,3,S,G
2100051259,7,B,G
2100051260,7,B,G
2100051261,0,S,R/V
2100051262,9,B,G
2100051263,8,B,R
2100051264,9,B,G
2100051265,4,S,R
2100051266,1,S,G
2100051267,6,B,R
2100051268,0,S,R/V
2100051269,8,B,R
2100051270,1,S,G
2100051271,0,S,R/V
2100051272,6,B,R
2100051273,6,B,R
2100051274,3,S,G
2100051275,4,S,R
2100051276,9,B,G
2100051277,4,S,R
2100051278,9,B,G
2100051279,5,B,G/V
2100051280,2,S,R
2100051281,4,S,R
2100051282,6,B,R
2100051283,1,S,G
2100051284,3,S,G
2100051285,8,B,R
2100051286,9,B,G
2100051287,9,B,G
2100051288,4,S,R
2100051289,9,B,G
2100051290,4,S,R
2100051291,8,B,R
2100051292,6,B,R
2100051293,9,B,G
2100051294,6,B,R
2100051295,9,B,G
2100051296,8,B,R
2100051297,8,B,R
2100051298,5,B,G/V
2100051299,6,B,R
2100051300,2,S,R
2100051301,2,S,R
2100051302,5,B,G/V
2100051303,0,S,R/V
2100051304,8,B,R
2100051305,4,S,R
2100051306,9,B,G
2100051307,0,S,R/V
2100051308,9,B,G
2100051309,7,B,G
2100051310,7,B,G
2100051311,4,S,R
2100051312,5,B,G/V
2100051313,9,B,G
2100051314,4,S,R
2100051315,9,B,G
2100051316,5,B,G/V
2100051317,6,B,R
2100051318,4,S,R
2100051319,4,S,R
2100051320,6,B,R
2100051321,9,B,G
2100051322,2,S,R
2100051323,4,S,R
2100051324,5,B,G/V
2100051325,5,B,G/V
2100051326,8,B,R
2100051327,5,B,G/V
2100051328,8,B,R
2100051329,3,S,G
2100051330,5,B,G/V
2100051331,6,B,R
2100051332,1,S,G
2100051333,7,B,G
2100051334,6,B,R
2100051335,5,B,G/V
2100051336,5,B,G/V
2100051337,8,B,R
2100051338,7,B,G
2100051339,5,B,G/V
2100051340,1,S,G
2100051341,5,B,G/V
2100051342,6,B,R
2100051343,4,S,R
2100051344,3,S,G
2100051345,1,S,G
2100051346,8,B,R
2100051347,7,B,G
2100051348,8,B,R
2100051349,5,B,G/V
2100051350,8,B,R
2100051351,0,S,R/V
2100051352,8,B,R
2100051353,3,S,G
2100051354,7,B,G
2100051355,9,B,G
2100051356,0,S,R/V
2100051357,1,S,G
2100051358,2,S,R
2100051359,4,S,R
2100051360,2,S,R
2100051361,6,B,R
2100051362,5,B,G/V
2100051363,0,S,R/V
2100051364,2,S,R
2100051365,7,B,G
2100051366,3,S,G
2100051367,8,B,R
2100051368,7,B,G
2100051369,4,S,R
2100051370,1,S,G
2100051371,3,S,G
2100051372,5,B,G/V
2100051373,8,B,R
2100051374,4,S,R
2100051375,7,B,G
2100051376,1,S,G
2100051377,7,B,G
2100051378,4,S,R
2100051379,0,S,R/V
2100051380,7,B,G
2100051381,2,S,R
2100051382,3,S,G
2100051383,1,S,G
2100051384,1,S,G
2100051385,0,S,R/V
2100051386,5,B,G/V
2100051387,0,S,R/V
2100051388,9,B,G
2100051389,6,B,R
2100051390,2,S,R
2100051391,8,B,R
2100051392,5,B,G/V
2100051393,0,S,R/V
2100051394,5,B,G/V
2100051395,8,B,R
2100051396,3,S,G
2100051397,2,S,R
2100051398,0,S,R/V
2100051399,5,B,G/V
2100051400,6,B,R
2100051401,5,B,G/V
2100051402,7,B,G
2100051403,1,S,G
2100051404,4,S,R
2100051405,0,S,R/V
2100051406,3,S,G
2100051407,6,B,R
2100051408,0,S,R/V
2100051409,8,B,R
2100051410,4,S,R
2100051411,5,B,G/V
2100051412,0,S,R/V
2100051413,1,S,G
2100051414,4,S,R
2100051415,4,S,R
2100051416,9,B,G
2100051417,6,B,R
2100051418,5,B,G/V
2100051419,1,S,G
2100051420,8,B,R
2100051421,6,B,R
2100051422,4,S,R
2100051423,0,S,R/V
2100051424,0,S,R/V
2100051425,7,B,G
2100051426,3,S,G
2100051427,8,B,R
2100051428,6,B,R
2100051429,0,S,R/V
2100051430,1,S,G
2100051431,6,B,R
2100051432,2,S,R
2100051433,7,B,G
2100051434,5,B,G/V
2100051435,6,B,R
2100051436,4,S,R
2100051437,4,S,R
2100051438,3,S,G
2100051439,3,S,G
2100051440,9,B,G
2100051441,4,S,R
2100051442,9,B,G
2100051443,3,S,G
2100051444,8,B,R
2100051445,9,B,G
2100051446,5,B,G/V
2100051447,8,B,R
2100051448,0,S,R/V
2100051449,5,B,G/V
2100051450,1,S,G
2100051451,8,B,R
2100051452,6,B,R
2100051453,8,B,R
2100051454,1,S,G
2100051455,9,B,G
2100051456,1,S,G
2100051457,2,S,R
2100051458,7,B,G
2100051459,2,S,R
2100051460,6,B,R
2100051461,8,B,R
2100051462,0,S,R/V
2100051463,6,B,R
2100051464,4,S,R
2100051465,7,B,G
2100051466,0,S,R/V
2100051467,2,S,R
2100051468,4,S,R
2100051469,1,S,G
2100051470,8,B,R
2100051471,2,S,R
2100051472,5,B,G/V
2100051473,7,B,G
2100051474,0,S,R/V
2100051475,0,S,R/V
2100051476,2,S,R
2100051477,1,S,G
2100051478,2,S,R
2100051479,7,B,G
2100051480,9,B,G
2100051481,3,S,G
2100051482,7,B,G
2100051483,2,S,R
2100051484,7,B,G
2100051485,0,S,R/V
2100051486,8,B,R
2100051487,7,B,G
2100051488,2,S,R
2100051489,1,S,G
2100051490,9,B,G
2100051491,2,S,R
2100051492,7,B,G
2100051493,5,B,G/V
2100051494,1,S,G
2100051495,3,S,G
2100051496,5,B,G/V
2100051497,2,S,R
2100051498,5,B,G/V
2100051499,7,B,G
2100051500,4,S,R
2100051501,5,B,G/V
2100051502,5,B,G/V
2100051503,6,B,R
2100051504,6,B,R
2100051505,8,B,R
2100051506,7,B,G
2100051507,5,B,G/V
2100051508,9,B,G
2100051509,7,B,G
2100051510,2,S,R
2100051511,0,S,R/V
2100051512,6,B,R
2100051513,2,S,R
2100051514,7,B,G
2100051515,7,B,G
2100051516,8,B,R
2100051517,5,B,G/V
2100051518,0,S,R/V
2100051519,3,S,G
2100051520,4,S,R
2100051521,0,S,R/V
2100051522,6,B,R
2100051523,1,S,G
2100051524,3,S,G
2100051525,3,S,G
2100051526,8,B,R
2100051527,4,S,R
2100051528,7,B,G
2100051529,5,B,G/V
2100051530,8,B,R
2100051531,6,B,R
2100051532,5,B,G/V
2100051533,4,S,R
2100051534,1,S,G
2100051535,8,B,R
2100051536,2,S,R
2100051537,4,S,R
2100051538,3,S,G
2100051539,6,B,R
2100051540,4,S,R
2100051541,1,S,G
2100051542,5,B,G/V
2100051543,9,B,G
2100051544,7,B,G
2100051545,8,B,R
2100051546,3,S,G
2100051547,4,S,R
2100051548,2,S,R
2100051549,6,B,R
2100051550,9,B,G
2100051551,1,S,G
2100051552,4,S,R
2100051553,3,S,G
2100051554,5,B,G/V
2100051555,5,B,G/V
2100051556,0,S,R/V
2100051557,7,B,G
2100051558,5,B,G/V
2100051559,1,S,G
2100051560,3,S,G
2100051561,7,B,G
2100051562,7,B,G
2100051563,4,S,R
2100051564,1,S,G
2100051565,1,S,G
2100051566,0,S,R/V
2100051567,0,S,R/V
2100051568,7,B,G
2100051569,1,S,G
2100051570,7,B,G
2100051571,5,B,G/V
2100051572,6,B,R
2100051573,7,B,G
2100051574,2,S,R
2100051575,3,S,G
2100051576,5,B,G/V
2100051577,1,S,G
2100051578,7,B,G
2100051579,8,B,R
2100051580,3,S,G
2100051581,9,B,G
2100051582,9,B,G
2100051583,8,B,R
2100051584,2,S,R
2100051585,4,S,R
2100051586,7,B,G
2100051587,4,S,R
2100051588,7,B,G
2100051589,2,S,R
2100051590,5,B,G/V
2100051591,0,S,R/V
2100051592,1,S,G
2100051593,9,B,G
2100051594,1,S,G
2100051595,5,B,G/V
2100051596,4,S,R
2100051597,9,B,G
2100051598,1,S,G
2100051599,9,B,G
2100051600,2,S,R
2100051601,7,B,G
2100051602,8,B,R
2100051603,0,S,R/V
2100051604,4,S,R
2100051605,4,S,R
2100051606,7,B,G
2100051607,6,B,R
2100051608,9,B,G
2100051609,2,S,R
2100051610,5,B,G/V
2100051611,9,B,G
2100051612,3,S,G
2100051613,0,S,R/V
2100051614,3,S,G
2100051615,8,B,R
2100051616,7,B,G
2100051617,3,S,G
2100051618,2,S,R
2100051619,8,B,R
2100051620,1,S,G
2100051621,7,B,G
2100051622,5,B,G/V
2100051623,8,B,R
2100051624,4,S,R
2100051625,3,S,G
2100051626,7,B,G
2100051627,2,S,R
2100051628,4,S,R
2100051629,2,S,R
2100051630,5,B,G/V
2100051631,8,B,R
2100051632,8,B,R
2100051633,9,B,G
2100051634,3,S,G
2100051635,7,B,G
2100051636,3,S,G
2100051637,6,B,R
2100051638,9,B,G
2100051639,0,S,R/V
2100051640,4,S,R
2100051641,6,B,R
2100051642,6,B,R
2100051643,8,B,R
2100051644,5,B,G/V
2100051645,4,S,R
2100051646,4,S,R
2100051647,2,S,R
2100051648,1,S,G
2100051649,4,S,R
2100051650,1,S,G
2100051651,3,S,G
2100051652,3,S,G
2100051653,6,B,R
2100051654,2,S,R
2100051655,2,S,R
2100051656,7,B,G
2100051657,2,S,R
2100051658,6,B,R
2100051659,2,S,R
2100051660,1,S,G
2100051661,4,S,R
2100051662,7,B,G
2100051663,9,B,G
2100051664,6,B,R
2100051665,6,B,R
2100051666,7,B,G
2100051667,1,S,G
2100051668,2,S,R
2100051669,8,B,R
2100051670,7,B,G
2100051671,7,B,G
2100051672,4,S,R
2100051673,9,B,G
2100051674,3,S,G
2100051675,1,S,G
2100051676,4,S,R
2100051677,8,B,R
2100051678,3,S,G
2100051679,6,B,R
2100051680,9,B,G
2100051681,4,S,R
2100051682,2,S,R
2100051683,2,S,R
2100051684,5,B,G/V
2100051685,3,S,G
2100051686,0,S,R/V
2100051687,1,S,G
2100051688,7,B,G
2100051689,0,S,R/V
2100051690,8,B,R
2100051691,3,S,G
2100051692,3,S,G
2100051693,4,S,R
2100051694,1,S,G
2100051695,3,S,G
2100051696,0,S,R/V
2100051697,0,S,R/V
2100051698,1,S,G
2100051699,8,B,R
2100051700,1,S,G
2100051701,8,B,R
2100051702,7,B,G
2100051703,9,B,G
2100051704,5,B,G/V
2100051705,2,S,R
2100051706,7,B,G
2100051707,6,B,R
2100051708,4,S,R
2100051709,7,B,G
2100051710,1,S,G
2100051711,5,B,G/V
2100051712,1,S,G
2100051713,9,B,G
2100051714,0,S,R/V
2100051715,6,B,R
2100051716,2,S,R
2100051717,9,B,G
2100051718,2,S,R
2100051719,1,S,G
2100051720,7,B,G
2100051721,2,S,R
2100051722,8,B,R
2100051723,6,B,R
2100051724,0,S,R/V
2100051725,2,S,R
2100051726,2,S,R
2100051727,3,S,G
2100051728,7,B,G
2100051729,6,B,R
2100051730,0,S,R/V
2100051731,9,B,G
2100051732,4,S,R
2100051733,3,S,G
2100051734,8,B,R
2100051735,4,S,R
2100051736,2,S,R
2100051737,5,B,G/V
2100051738,7,B,G
2100051739,3,S,G
2100051740,8,B,R
2100051741,9,B,G
2100051742,7,B,G
2100051743,9,B,G
2100051744,9,B,G
2100051745,7,B,G
2100051746,9,B,G
2100051747,3,S,G
2100051748,7,B,G
2100051749,5,B,G/V
2100051750,2,S,R
2100051751,0,S,R/V
2100051752,1,S,G
2100051753,9,B,G
2100051754,7,B,G
2100051755,8,B,R
2100051756,1,S,G
2100051757,4,S,R
2100051758,8,B,R
2100051759,0,S,R/V
2100051760,6,B,R
2100051761,6,B,R
2100051762,6,B,R
2100051763,8,B,R
2100051764,8,B,R
2100051765,7,B,G
2100051766,0,S,R/V
2100051767,6,B,R
2100051768,1,S,G
2100051769,5,B,G/V
2100051770,3,S,G
2100051771,5,B,G/V
2100051772,9,B,G
2100051773,8,B,R
2100051774,9,B,G
2100051775,0,S,R/V
2100051776,8,B,R
2100051777,5,B,G/V
2100051778,5,B,G/V
2100051779,6,B,R
2100051780,5,B,G/V
2100051781,3,S,G
2100051782,7,B,G
2100051783,1,S,G
2100051784,7,B,G
2100051785,0,S,R/V
2100051786,4,S,R
2100051787,0,S,R/V
2100051788,4,S,R
2100051789,0,S,R/V
2100051790,0,S,R/V
2100051791,4,S,R
2100051792,8,B,R
2100051793,3,S,G
2100051794,2,S,R
2100051795,7,B,G
2100051796,9,B,G
2100051797,0,S,R/V
2100051798,6,B,R
2100051799,0,S,R/V
2100051800,6,B,R
2100051801,8,B,R
2100051802,5,B,G/V
2100051803,0,S,R/V
2100051804,3,S,G
2100051805,1,S,G
2100051806,8,B,R
2100051807,9,B,G
2100051808,6,B,R
2100051809,0,S,R/V
2100051810,1,S,G
2100051811,5,B,G/V
2100051812,3,S,G
2100051813,1,S,G
2100051814,5,B,G/V
2100051815,4,S,R
2100051816,5,B,G/V
2100051817,6,B,R
2100051818,2,S,R
2100051819,3,S,G
2100051820,4,S,R
2100051821,0,S,R/V
2100051822,5,B,G/V
2100051823,6,B,R
2100051824,5,B,G/V
2100051825,2,S,R
2100051826,5,B,G/V
2100051827,6,B,R
2100051828,5,B,G/V
2100051829,0,S,R/V
2100051830,7,B,G
2100051831,6,B,R
2100051832,3,S,G
2100051833,9,B,G
2100051834,8,B,R
2100051835,7,B,G
2100051836,5,B,G/V
2100051837,0,S,R/V
2100051838,1,S,G
2100051839,9,B,G
2100051840,9,B,G
2100051841,5,B,G/V
2100051842,0,S,R/V
2100051843,8,B,R
2100051844,7,B,G
2100051845,4,S,R
2100051846,4,S,R
2100051847,3,S,G
2100051848,7,B,G
2100051849,5,B,G/V
2100051850,9,B,G
2100051851,4,S,R
2100051852,1,S,G
2100051853,2,S,R
2100051854,7,B,G
2100051855,9,B,G
2100051856,9,B,G
2100051857,9,B,G
2100051858,3,S,G
2100051859,1,S,G
2100051860,1,S,G
2100051861,1,S,G
2100051862,7,B,G
2100051863,7,B,G
2100051864,5,B,G/V
2100051865,6,B,R
2100051866,6,B,R
2100051867,5,B,G/V
2100051868,4,S,R
2100051869,0,S,R/V
2100051870,2,S,R
2100051871,3,S,G
2100051872,7,B,G
2100051873,1,S,G
2100051874,5,B,G/V
2100051875,0,S,R/V
2100051876,0,S,R/V
2100051877,5,B,G/V
2100051878,1,S,G
2100051879,9,B,G
2100051880,4,S,R
2100051881,5,B,G/V
2100051882,7,B,G
2100051883,9,B,G
2100051884,5,B,G/V
2100051885,1,S,G
2100051886,3,S,G
2100051887,9,B,G
2100051888,0,S,R/V
2100051889,3,S,G
2100051890,0,S,R/V
2100051891,6,B,R
2100051892,8,B,R
2100051893,5,B,G/V
2100051894,5,B,G/V
2100051895,2,S,R
2100051896,1,S,G
2100051897,8,B,R
2100051898,4,S,R
2100051899,0,S,R/V
2100051900,4,S,R
2100051901,2,S,R
2100051902,2,S,R
2100051903,5,B,G/V
2100051904,1,S,G
2100051905,0,S,R/V
2100051906,7,B,G
2100051907,2,S,R
2100051908,9,B,G
2100051909,7,B,G
2100051910,7,B,G
2100051911,3,S,G
2100051912,6,B,R
2100051913,1,S,G
2100051914,7,B,G
2100051915,9,B,G
2100051916,7,B,G
2100051917,3,S,G
2100051918,1,S,G
2100051919,5,B,G/V
2100051920,1,S,G
2100051921,7,B,G
2100051922,0,S,R/V
2100051923,6,B,R
2100051924,3,S,G
2100051925,1,S,G
2100051926,4,S,R
2100051927,4,S,R
2100051928,5,B,G/V
2100051929,8,B,R
2100051930,7,B,G
2100051931,7,B,G
2100051932,8,B,R
2100051933,4,S,R
2100051934,8,B,R
2100051935,2,S,R
2100051936,1,S,G
2100051937,7,B,G
2100051938,7,B,G
2100051939,1,S,G
2100051940,4,S,R
2100051941,3,S,G
2100051942,9,B,G
2100051943,8,B,R
2100051944,5,B,G/V
2100051945,3,S,G
2100051946,5,B,G/V
2100051947,8,B,R
2100051948,8,B,R
2100051949,8,B,R
2100051950,8,B,R
2100051951,1,S,G
2100051952,2,S,R
2100051953,3,S,G
2100051954,9,B,G
2100051955,4,S,R
2100051956,6,B,R
2100051957,7,B,G
2100051958,7,B,G
2100051959,1,S,G
2100051960,6,B,R
2100051961,9,B,G
2100051962,0,S,R/V
2100051963,9,B,G
2100051964,2,S,R
2100051965,2,S,R
2100051966,7,B,G
2100051967,7,B,G
2100051968,5,B,G/V
2100051969,0,S,R/V
2100051970,7,B,G
2100051971,6,B,R
2100051972,2,S,R
2100051973,4,S,R
2100051974,2,S,R
2100051975,8,B,R
2100051976,6,B,R
2100051977,0,S,R/V
2100051978,8,B,R
2100051979,1,S,G
2100051980,3,S,G
2100051981,3,S,G
2100051982,5,B,G/V
2100051983,8,B,R
2100051984,9,B,G
2100051985,5,B,G/V
2100051986,4,S,R
2100051987,5,B,G/V
2100051988,7,B,G
2100051989,0,S,R/V
2100051990,5,B,G/V
2100051991,0,S,R/V
2100051992,0,S,R/V
2100051993,9,B,G
2100051994,6,B,R
2100051995,8,B,R
2100051996,9,B,G
2100051997,0,S,R/V
2100051998,6,B,R
2100051999,5,B,G/V
2100052000,7,B,G
2100052001,8,B,R
2100052002,0,S,R/V
2100052003,8,B,R
2100052004,7,B,G
2100052005,7,B,G
2100052006,4,S,R
2100052007,6,B,R
2100052008,2,S,R
2100052009,9,B,G
2100052010,6,B,R
2100052011,5,B,G/V
2100052012,8,B,R
2100052013,2,S,R
2100052014,6,B,R
2100052015,2,S,R
2100052016,0,S,R/V
2100052017,0,S,R/V
2100052018,6,B,R
2100052019,4,S,R
2100052020,1,S,G
2100052021,8,B,R
2100052022,3,S,G
2100052023,0,S,R/V
2100052024,2,S,R
2100052025,3,S,G
2100052026,0,S,R/V
2100052027,4,S,R
2100052028,6,B,R
2100052029,2,S,R
2100052030,5,B,G/V
2100052031,3,S,G
2100052032,2,S,R
2100052033,5,B,G/V
2100052034,4,S,R
2100052035,6,B,R
2100052036,3,S,G
2100052037,9,B,G
2100052038,8,B,R
2100052039,2,S,R
2100052040,8,B,R
2100052041,2,S,R
2100052042,2,S,R
2100052043,6,B,R
2100052044,0,S,R/V
2100052045,9,B,G
2100052046,1,S,G
2100052047,9,B,G
2100052048,9,B,G
2100052049,2,S,R
2100052050,3,S,G
2100052051,2,S,R
2100052052,3,S,G
2100052053,7,B,G
2100052054,7,B,G
2100052055,6,B,R
2100052056,7,B,G
2100052057,6,B,R
2100052058,9,B,G
2100052059,3,S,G
2100052060,3,S,G
2100052061,1,S,G
2100052062,3,S,G
2100052063,2,S,R
2100052064,8,B,R
2100052065,4,S,R
2100052066,2,S,R
2100052067,7,B,G
2100052068,4,S,R
2100052069,5,B,G/V
2100052070,8,B,R
2100052071,4,S,R
2100052072,1,S,G
2100052073,8,B,R
2100052074,1,S,G
2100052075,1,S,G
2100052076,5,B,G/V
2100052077,7,B,G
2100052078,1,S,G
2100052079,8,B,R
2100052080,4,S,R
2100052081,8,B,R
2100052082,5,B,G/V
2100052083,2,S,R
2100052084,5,B,G/V
2100052085,6,B,R
2100052086,2,S,R
2100052087,3,S,G
2100052088,7,B,G
2100052089,4,S,R
2100052090,8,B,R
2100052091,9,B,G
2100052092,1,S,G
2100052093,0,S,R/V
2100052094,0,S,R/V
2100052095,1,S,G
2100052096,7,B,G
2100052097,9,B,G
2100052098,0,S,R/V
2100052099,3,S,G
2100052100,9,B,G
2100052101,5,B,G/V
2100052102,3,S,G
2100052103,1,S,G
2100052104,1,S,G
2100052105,2,S,R
2100052106,6,B,R
2100052107,3,S,G
2100052108,9,B,G
2100052109,6,B,R
2100052110,4,S,R
2100052111,2,S,R
2100052112,1,S,G
2100052113,1,S,G
2100052114,7,B,G
2100052115,5,B,G/V
2100052116,6,B,R
2100052117,9,B,G
2100052118,7,B,G
2100052119,5,B,G/V
2100052120,7,B,G
2100052121,0,S,R/V
2100052122,5,B,G/V
2100052123,4,S,R
2100052124,7,B,G
2100052125,1,S,G
2100052126,4,S,R
2100052127,5,B,G/V
2100052128,4,S,R
2100052129,7,B,G
2100052130,2,S,R
2100052131,7,B,G
2100052132,1,S,G
2100052133,5,B,G/V
2100052134,0,S,R/V
2100052135,9,B,G
2100052136,1,S,G
2100052137,4,S,R
2100052138,3,S,G
2100052139,5,B,G/V
2100052140,0,S,R/V
2100052141,6,B,R
2100052142,7,B,G
2100052143,7,B,G
2100052144,3,S,G
2100052145,8,B,R
2100052146,8,B,R
2100052147,5,B,G/V
2100052148,6,B,R
2100052149,2,S,R
2100052150,2,S,R
2100052151,5,B,G/V
2100052152,6,B,R
2100052153,5,B,G/V
2100052154,2,S,R
2100052155,4,S,R
2100052156,1,S,G
2100052157,5,B,G/V
2100052158,8,B,R
2100052159,2,S,R
2100052160,7,B,G
2100052161,9,B,G
2100052162,2,S,R
2100052163,3,S,G
2100052164,2,S,R
2100052165,9,B,G
2100052166,2,S,R
2100052167,5,B,G/V
2100052168,7,B,G
2100052169,7,B,G
2100052170,6,B,R
2100052171,1,S,G
2100052172,1,S,G
2100052173,2,S,R
2100052174,7,B,G
2100052175,0,S,R/V
2100052176,1,S,G
2100052177,6,B,R
2100052178,4,S,R
2100052179,3,S,G
2100052180,7,B,G
2100052181,6,B,R
2100052182,5,B,G/V
2100052183,2,S,R
2100052184,6,B,R
2100052185,3,S,G
2100052186,6,B,R
2100052187,7,B,G
2100052188,9,B,G
2100052189,7,B,G
2100052190,4,S,R
2100052191,5,B,G/V
2100052192,6,B,R
2100052193,6,B,R
2100052194,8,B,R
2100052195,5,B,G/V
2100052196,5,B,G/V
2100052197,9,B,G
2100052198,3,S,G
2100052199,9,B,G
2100052200,2,S,R
2100052201,0,S,R/V
2100052202,3,S,G
2100052203,3,S,G
2100052204,4,S,R
2100052205,1,S,G
2100052206,8,B,R
2100052207,6,B,R
2100052208,7,B,G
2100052209,5,B,G/V
2100052210,8,B,R
2100052211,9,B,G
2100052212,7,B,G
2100052213,6,B,R
2100052214,4,S,R
2100052215,8,B,R
2100052216,7,B,G
2100052217,7,B,G
2100052218,5,B,G/V
2100052219,3,S,G
2100052220,8,B,R
2100052221,5,B,G/V
2100052222,0,S,R/V
2100052223,1,S,G
2100052224,4,S,R
2100052225,3,S,G
2100052226,5,B,G/V
2100052227,3,S,G
2100052228,7,B,G
2100052229,8,B,R
2100052230,1,S,G
2100052231,0,S,R/V
2100052232,0,S,R/V
2100052233,5,B,G/V
2100052234,5,B,G/V
2100052235,0,S,R/V
2100052236,8,B,R
2100052237,0,S,R/V
2100052238,2,S,R
2100052239,7,B,G
2100052240,2,S,R
2100052241,5,B,G/V
2100052242,8,B,R
2100052243,2,S,R
2100052244,3,S,G
2100052245,5,B,G/V
2100052246,8,B,R
2100052247,4,S,R
2100052248,9,B,G
2100052249,8,B,R
2100052250,5,B,G/V
2100052251,3,S,G
2100052252,1,S,G
2100052253,3,S,G
2100052254,8,B,R
2100052255,1,S,G
2100052256,5,B,G/V
2100052257,1,S,G
2100052258,4,S,R
2100052259,2,S,R
2100052260,7,B,G
2100052261,9,B,G
2100052262,3,S,G
2100052263,7,B,G
2100052264,0,S,R/V
2100052265,3,S,G
2100052266,1,S,G
2100052267,7,B,G
2100052268,8,B,R
2100052269,9,B,G
2100052270,9,B,G
2100052271,6,B,R
2100052272,8,B,R
2100052273,8,B,R
2100052274,7,B,G
2100052275,3,S,G
2100052276,5,B,G/V
2100052277,1,S,G
2100052278,8,B,R
2100052279,7,B,G
2100052280,7,B,G
2100052281,2,S,R
2100052282,1,S,G
2100052283,4,S,R
2100052284,4,S,R
2100052285,7,B,G
2100052286,6,B,R
2100052287,1,S,G
2100052288,8,B,R
2100052289,5,B,G/V
2100052290,8,B,R
2100052291,5,B,G/V
2100052292,5,B,G/V
2100052293,7,B,G
2100052294,7,B,G
2100052295,9,B,G
2100052296,6,B,R
2100052297,5,B,G/V
2100052298,5,B,G/V
2100052299,3,S,G
2100052300,0,S,R/V
2100052301,1,S,G
2100052302,3,S,G
2100052303,4,S,R
2100052304,8,B,R
2100052305,9,B,G
2100052306,1,S,G
2100052307,1,S,G
2100052308,9,B,G
2100052309,6,B,R
2100052310,9,B,G
2100052311,1,S,G
2100052312,2,S,R
2100052313,2,S,R
2100052314,2,S,R
2100052315,8,B,R
2100052316,9,B,G
2100052317,4,S,R
2100052318,5,B,G/V
2100052319,4,S,R
2100052320,9,B,G
2100052321,4,S,R
2100052322,5,B,G/V
2100052323,7,B,G
2100052324,2,S,R
2100052325,4,S,R
2100052326,3,S,G
2100052327,6,B,R
2100052328,7,B,G
2100052329,2,S,R
2100052330,9,B,G
2100052331,5,B,G/V
2100052332,3,S,G
2100052333,9,B,G
2100052334,3,S,G
2100052335,1,S,G
2100052336,6,B,R
2100052337,6,B,R
2100052338,9,B,G
2100052339,2,S,R
2100052340,2,S,R
2100052341,7,B,G
2100052342,7,B,G
2100052343,9,B,G
2100052344,4,S,R
2100052345,7,B,G
2100052346,1,S,G
2100052347,1,S,G
2100052348,7,B,G
2100052349,0,S,R/V
2100052350,0,S,R/V
2100052351,9,B,G
2100052352,1,S,G
2100052353,1,S,G
2100052354,1,S,G
2100052355,5,B,G/V
2100052356,3,S,G
2100052357,9,B,G
2100052358,3,S,G
2100052359,2,S,R
2100052360,3,S,G
2100052361,2,S,R
2100052362,7,B,G
2100052363,7,B,G
2100052364,3,S,G
2100052365,3,S,G
2100052366,5,B,G/V
2100052367,0,S,R/V
2100052368,1,S,G
2100052369,7,B,G
2100052370,1,S,G
2100052371,8,B,R
2100052372,3,S,G
2100052373,0,S,R/V
2100052374,2,S,R
2100052375,1,S,G
2100052376,5,B,G/V
2100052377,7,B,G
2100052378,6,B,R
2100052379,9,B,G
2100052380,5,B,G/V
2100052381,3,S,G
2100052382,3,S,G
2100052383,1,S,G
2100052384,0,S,R/V
2100052385,9,B,G
2100052386,3,S,G
2100052387,4,S,R
2100052388,9,B,G
2100052389,5,B,G/V
2100052390,0,S,R/V
2100052391,0,S,R/V
2100052392,6,B,R
2100052393,1,S,G
2100052394,3,S,G
