Ser No,0 to 9,B/S,R/G
25100051225,0,S,R
25100051226,8,B,R
25100051227,3,S,G
25100051228,0,S,R
25100051229,0,S,R
25100051230,9,B,G
25100051231,6,B,R
25100051232,9,B,G
25100051233,4,S,R
25100051234,2,S,R
25100051235,2,S,R
25100051236,1,S,G
25100051237,3,S,G
25100051238,0,S,R
25100051239,2,S,R
25100051240,8,B,R
25100051241,0,S,R
25100051242,2,S,R
25100051243,5,B,G
25100051244,1,S,G
25100051245,7,B,G
25100051246,9,B,G
25100051247,2,S,R
25100051248,3,S,G
25100051249,9,B,G
25100051250,1,S,G
25100051251,6,B,R
25100051252,3,S,G
25100051253,2,S,R
25100051254,4,S,R
25100051255,2,S,R
25100051256,1,S,G
25100051257,2,S,R
25100051258,3,S,G
25100051259,5,B,G
25100051260,0,S,R
25100051261,1,S,G
25100051262,3,S,G
25100051263,1,S,G
25100051264,5,B,G
25100051265,2,S,R
25100051266,2,S,R
25100051267,0,S,R
25100051268,0,S,R
25100051269,4,S,R
25100051270,0,S,R
25100051271,6,B,R
25100051272,8,B,R
25100051273,8,B,R
25100051274,7,B,G
25100051275,3,S,G
25100051276,2,S,R
25100051277,2,S,R
25100051278,8,B,R
25100051279,2,S,R
25100051280,6,B,R
25100051281,9,B,G
25100051282,4,S,R
25100051283,4,S,R
25100051284,0,S,R
25100051285,6,B,R
25100051286,7,B,G
25100051287,7,B,G
25100051288,7,B,G
25100051289,1,S,G
25100051290,1,S,G
25100051291,6,B,R
25100051292,1,S,G
25100051293,3,S,G
25100051294,0,S,R
25100051295,1,S,G
25100051296,8,B,R
25100050690,0,S,R
25100050691,9,B,G
25100050692,6,B,R
25100050693,6,B,R
25100050694,2,S,R
25100050695,0,S,R
25100050696,8,B,R
25100050697,2,S,R
25100050698,6,B,R
25100050699,7,B,G
25100050700,1,S,G
25100050701,1,S,G
25100050702,1,S,G
25100050703,2,S,R
25100050704,3,S,G
25100050705,5,B,G
25100050706,8,B,R
25100050707,3,S,G
25100050708,3,S,G
25100050709,1,S,G
25100050710,7,B,G
25100050711,5,B,G
25100050712,0,S,R
25100050713,5,B,G
25100050714,0,S,R
25100050715,3,S,G
25100050716,9,B,G
25100050717,1,S,G
25100050718,0,S,R
25100050719,1,S,G
25100050720,3,S,G
25100050721,5,B,G
25100050722,5,B,G
25100050723,1,S,G
25100050724,2,S,R
25100050725,8,B,R
25100050726,4,S,R
25100050727,0,S,R
25100050728,0,S,R
25100050729,8,B,R
25100050730,9,B,G
25100050731,6,B,R
25100050732,1,S,G
25100050733,6,B,R
25100050734,2,S,R
25100050735,2,S,R
25100050736,5,B,G
25100050737,7,B,G
25100050738,6,B,R
25100050739,4,S,R
25100050740,9,B,G
25100050741,9,B,G
25100050742,8,B,R
25100050743,3,S,G
25100050744,9,B,G
25100050745,1,S,G
25100050746,5,B,G
25100050747,9,B,G
25100050748,2,S,R
25100050749,5,B,G
25100050750,0,S,R
25100050751,4,S,R
25100050752,7,B,G
25100050753,8,B,R
25100050754,6,B,R
25100050755,0,S,R
25100050756,9,B,G
25100050757,6,B,R
25100050758,1,S,G
25100050759,5,B,G
25100050760,8,B,R
25100050761,7,B,G
25100050762,8,B,R
25100050763,7,B,G
25100050764,3,S,G
25100050765,9,B,G
25100050766,4,S,R
25100050767,8,B,R
25100050768,8,B,R
25100050769,4,S,R
25100050770,9,B,G
25100050771,1,S,G
25100050772,4,S,R
25100050773,1,S,G
25100050774,8,B,R
25100050775,0,S,R
25100050776,3,S,G
25100050777,5,B,G
25100050778,2,S,R
25100050779,2,S,R
25100050780,0,S,R
25100050781,9,B,G
25100050782,3,S,G
25100050783,6,B,R
25100050784,3,S,G
25100050785,8,B,R
25100050786,9,B,G
25100050787,4,S,R
25100050788,7,B,G
25100050789,9,B,G
25100050790,6,B,R
25100050791,6,B,R
25100050792,1,S,G
25100050793,1,S,G
25100050794,6,B,R
25100050795,1,S,G
25100050796,1,S,G
25100050797,8,B,R
25100050798,3,S,G
25100050799,1,S,G
25100050800,3,S,G
25100050801,8,B,R
25100050802,7,B,G
25100050803,7,B,G
25100050804,7,B,G
25100050805,6,B,R
25100050806,5,B,G
25100050807,3,S,G
25100050808,7,B,G
25100050809,7,B,G
25100050810,3,S,G
25100050811,4,S,R
25100050812,0,S,R
25100050813,6,B,R
25100050814,3,S,G
25100050815,1,S,G
25100050816,2,S,R
25100050817,0,S,R
25100050818,9,B,G
25100050819,7,B,G
25100050820,1,S,G
25100050821,4,S,R
25100050822,9,B,G
25100050823,8,B,R
25100050824,9,B,G
25100050825,4,S,R
25100050826,1,S,G
25100050827,6,B,R
25100050828,1,S,G
25100050829,1,S,G
25100050830,0,S,R
25100050831,9,B,G
25100050832,5,B,G
25100050833,9,B,G
25100050834,8,B,R
25100050835,6,B,R
25100050836,9,B,G
25100050837,4,S,R
25100050838,0,S,R
25100050839,2,S,R
25100050840,3,S,G
25100050841,6,B,R
25100050842,4,S,R
25100050843,6,B,R
25100050844,3,S,G
25100050845,8,B,R
25100050846,9,B,G
25100050847,0,S,R
25100050848,4,S,R
25100050849,9,B,G
25100050850,2,S,R
25100050851,9,B,G
25100050852,4,S,R
25100050853,0,S,R
25100050854,6,B,R
25100050855,4,S,R
25100050856,6,B,R
25100050857,0,S,R
25100050858,7,B,G
25100050859,4,S,R
25100050860,1,S,G
25100050861,9,B,G
25100050862,2,S,R
25100050863,8,B,R
25100050864,8,B,R
25100050865,8,B,R
25100050866,8,B,R
25100050867,4,S,R
25100050868,2,S,R
25100050869,5,B,G
25100050870,8,B,R
25100050871,2,S,R
25100050872,9,B,G
25100050873,0,S,R
25100050874,7,B,G
25100050875,7,B,G
25100050876,8,B,R
25100050877,6,B,R
25100050878,4,S,R
25100050879,4,S,R
25100050880,9,B,G
25100050881,7,B,G
25100050882,9,B,G
25100050883,8,B,R
25100050884,8,B,R
25100050885,3,S,G
25100050886,3,S,G
25100050887,8,B,R
25100050888,4,S,R
25100050889,5,B,G
25100050890,6,B,R
25100050891,4,S,R
25100050892,9,B,G
25100050893,9,B,G
25100050894,8,B,R
25100050895,8,B,R
25100050896,4,S,R
25100050897,0,S,R
25100050898,1,S,G
25100050899,1,S,G
25100050900,0,S,R
25100050901,7,B,G
25100050902,0,S,R
25100050903,4,S,R
25100050904,6,B,R
25100050905,4,S,R
25100050906,4,S,R
25100050907,1,S,G
25100050908,4,S,R
25100050909,8,B,R
25100050910,2,S,R
25100050911,3,S,G
25100050912,5,B,G
25100050913,2,S,R
25100050914,7,B,G
25100050915,6,B,R
25100050916,2,S,R
25100050917,0,S,R
25100050918,3,S,G
25100050919,0,S,R
25100050920,3,S,G
25100050921,9,B,G
25100050922,2,S,R
25100050923,3,S,G
25100050924,2,S,R
25100050925,3,S,G
25100050926,4,S,R
25100050927,8,B,R
25100050928,2,S,R
25100050929,3,S,G
25100050930,9,B,G
25100050931,9,B,G
25100050932,0,S,R
25100050933,5,B,G
25100050934,8,B,R
25100050935,7,B,G
25100050936,7,B,G
25100050937,5,B,G
25100050938,8,B,R
25100050939,4,S,R
25100050940,1,S,G
25100050941,4,S,R
25100050942,9,B,G
25100050943,2,S,R
25100050944,5,B,G
25100050945,1,S,G
25100050946,2,S,R
25100050947,4,S,R
25100050948,5,B,G
25100050949,1,S,G
25100050950,8,B,R
25100050951,0,S,R
25100050952,4,S,R
25100050953,5,B,G
25100050954,2,S,R
25100050955,5,B,G
25100050956,9,B,G
25100050957,0,S,R
25100050958,9,B,G
25100050959,9,B,G
25100050960,2,S,R
25100050961,4,S,R
25100050962,2,S,R
25100050963,9,B,G
25100050964,9,B,G
25100050965,8,B,R
25100050966,9,B,G
25100050967,6,B,R
25100050968,5,B,G
25100050969,7,B,G
25100050970,9,B,G
25100050971,2,S,R
25100050972,5,B,G
25100050973,3,S,G
25100050974,9,B,G
25100050975,7,B,G
25100050976,9,B,G
25100050977,6,B,R
25100050978,1,S,G
25100050979,9,B,G
25100050980,6,B,R
25100050981,9,B,G
25100050982,8,B,R
25100050983,4,S,R
25100050984,5,B,G
25100050985,2,S,R
25100050986,6,B,R
25100050987,9,B,G
25100050988,5,B,G
25100050989,8,B,R
25100050990,8,B,R
25100050991,0,S,R
25100050992,8,B,R
25100050993,5,B,G
25100050994,2,S,R
25100050995,0,S,R
25100050996,4,S,R
25100050997,0,S,R
25100050998,0,S,R
25100050999,1,S,G
25100051000,3,S,G
25100051001,7,B,G
25100051002,6,B,R
25100051003,3,S,G
25100051004,9,B,G
25100051005,2,S,R
25100051006,2,S,R
25100051007,7,B,G
25100051008,1,S,G
25100051009,8,B,R
25100051010,4,S,R
25100051011,6,B,R
25100051012,1,S,G
25100051013,8,B,R
25100051014,0,S,R
25100051015,8,B,R
25100051016,6,B,R
25100051017,4,S,R
25100051018,6,B,R
25100051019,5,B,G
25100051020,2,S,R
25100051021,0,S,R
25100051022,1,S,G
25100051023,6,B,R
25100051024,7,B,G
25100051025,4,S,R
25100051026,6,B,R
25100051027,4,S,R
25100051028,7,B,G
25100051029,8,B,R
25100051030,1,S,G
25100051031,2,S,R
25100051032,4,S,R
25100051033,8,B,R
25100051034,4,S,R
25100051035,4,S,R
25100051036,6,B,R
25100051037,7,B,G
25100051038,7,B,G
25100051039,0,S,R
25100051040,3,S,G
25100051041,2,S,R
25100051042,2,S,R
25100051043,7,B,G
25100051044,9,B,G
25100051045,1,S,G
25100051046,8,B,R
25100051047,4,S,R
25100051048,3,S,G
25100051049,8,B,R
25100051050,1,S,G
25100051051,3,S,G
25100051052,5,B,G
25100051053,4,S,R
25100051054,5,B,G
25100051055,6,B,R
25100051056,4,S,R
25100051057,7,B,G
25100051058,2,S,R
25100051059,9,B,G
25100051060,0,S,R
25100051061,4,S,R
25100051062,9,B,G
25100051063,7,B,G
25100051064,6,B,R
25100051065,0,S,R
25100051066,3,S,G
25100051067,1,S,G
25100051068,3,S,G
25100051069,8,B,R
25100051070,3,S,G
25100051071,9,B,G
25100051072,7,B,G
25100051073,0,S,R
25100051074,5,B,G
25100051075,3,S,G
25100051076,9,B,G
25100051077,8,B,R
25100051078,4,S,R
25100051079,7,B,G
25100051080,8,B,R
25100051081,5,B,G
25100051082,4,S,R
25100051083,7,B,G
25100051084,3,S,G
25100051085,1,S,G
25100051086,4,S,R
25100051087,3,S,G
25100051088,9,B,G
25100051089,0,S,R
25100051090,0,S,R
25100051091,8,B,R
25100051092,7,B,G
25100051093,6,B,R
25100051094,6,B,R
25100051095,4,S,R
25100051096,8,B,R
25100051097,7,B,G
25100051098,6,B,R
25100051099,6,B,R
25100051100,7,B,G
25100051101,1,S,G
25100051102,3,S,G
25100051103,3,S,G
25100051104,5,B,G
25100051105,4,S,R
25100051106,7,B,G
25100051107,0,S,R
25100051108,2,S,R
25100051109,2,S,R
25100051110,3,S,G
25100051111,6,B,R
25100051112,9,B,G
25100051113,4,S,R
25100051114,3,S,G
25100051115,9,B,G
25100051116,6,B,R
25100051117,7,B,G
25100051118,2,S,R
25100051119,2,S,R
25100051120,6,B,R
25100051121,9,B,G
25100051122,8,B,R
25100051123,6,B,R
25100051124,8,B,R
25100051125,5,B,G
25100051126,5,B,G
25100051127,6,B,R
25100051128,9,B,G
25100051129,3,S,G
25100051130,9,B,G
25100051131,3,S,G
25100051132,3,S,G
25100051133,1,S,G
25100051134,3,S,G
25100051135,2,S,R
25100051136,5,B,G
25100051137,0,S,R
25100051138,3,S,G
25100051139,4,S,R
25100051140,3,S,G
25100051141,6,B,R
25100051142,8,B,R
25100051143,4,S,R
25100051144,5,B,G
25100051145,0,S,R
25100051146,1,S,G
25100051147,3,S,G
25100051148,1,S,G
25100051149,0,S,R
25100051150,1,S,G
25100051151,8,B,R
25100051152,1,S,G
25100051153,9,B,G
25100051154,5,B,G
25100051155,7,B,G
25100051156,1,S,G
25100051157,1,S,G
25100051158,2,S,R
25100051159,5,B,G
25100051160,1,S,G
25100051161,1,S,G
25100051162,7,B,G
25100051163,9,B,G
25100051164,0,S,R
25100051165,2,S,R
25100051166,3,S,G
25100051167,1,S,G
25100051168,2,S,R
25100051169,4,S,R
25100051170,2,S,R
25100051171,7,B,G
25100051172,2,S,R
25100051173,3,S,G
25100051174,6,B,R
25100051175,4,S,R
25100051176,6,B,R
25100051177,9,B,G
25100051178,2,S,R
25100051179,9,B,G
25100051180,7,B,G
25100051181,4,S,R
25100051182,0,S,R
25100051183,0,S,R
25100051184,6,B,R
25100051185,0,S,R
25100051186,9,B,G
25100051187,2,S,R
1100052817,8,B,R
1100052818,8,B,R
1100052819,1,S,G
1100052820,7,B,G
1100052821,9,B,G
1100052822,8,B,R
1100052823,7,B,G
1100052824,3,S,G
1100052825,2,S,R
1100052826,8,B,R
1100052827,1,S,G
1100052828,7,B,G
1100052829,1,S,G
1100052830,6,B,R
1100052831,1,S,G
1100052832,8,B,R
1100052833,1,S,G
1100052834,6,B,R
1100052835,1,S,G
1100052836,7,B,G
1100052837,0,S,R
1100052838,1,S,G
1100052839,6,B,R
1100052840,6,B,R
1100052841,8,B,R
1100052842,2,S,R
1100052843,8,B,R
1100052844,5,B,G
1100052845,0,S,R
1100052846,7,B,G
1100052847,4,S,R
1100052848,9,B,G
1100052849,9,B,G
1100052850,0,S,R
1100052851,7,B,G
1100052852,8,B,R
1100052853,5,B,G
1100052854,3,S,G
1100052855,2,S,R
1100052856,4,S,R
1100052857,5,B,G
1100052858,6,B,R
1100052859,9,B,G
1100052860,2,S,R
1100052861,7,B,G
1100052862,9,B,G
1100052863,7,B,G
1100052864,0,S,R
1100052865,6,B,R
1100052866,8,B,R
1100052867,5,B,G
1100052868,7,B,G
1100052869,4,S,R
1100052870,6,B,R
1100052871,4,S,R
1100052872,0,S,R
1100052873,9,B,G
1100052874,7,B,G
1100052875,7,B,G
1100052876,6,B,R
1100052877,5,B,G
1100052878,5,B,G
1100052879,9,B,G
01100052880,8,B,R
2100050001,6,B,R
2100050002,3,S,G
2100050003,0,S,R
2100050004,1,S,G
2100050005,2,S,R
2100050006,0,S,R
2100050007,4,S,R
2100050008,9,B,G
2100050009,4,S,R
2100050010,6,B,R
2100050011,0,S,R
2100050012,6,B,R
2100050013,8,B,R
2100050014,8,B,R
2100050015,0,S,R
2100050016,2,S,R
2100050017,7,B,G
2100050018,9,B,G
2100050019,4,S,R
2100050020,8,B,R
2100050021,6,B,R
2100050022,0,S,R
2100050023,8,B,R
2100050024,3,S,G
2100050025,0,S,R
2100050026,8,B,R
2100050027,3,S,G
2100050028,5,B,G
2100050029,1,S,G
2100050030,5,B,G
2100050031,7,B,G
2100050032,5,B,G
2100050033,0,S,R
2100050034,0,S,R
2100050035,7,B,G
2100050036,9,B,G
2100050037,0,S,R
2100050038,0,S,R
2100050039,2,S,R
2100050040,0,S,R
2100050041,4,S,R
2100050042,7,B,G
2100050043,7,B,G
2100050044,5,B,G
2100050045,6,B,R
2100050046,4,S,R
2100050047,0,S,R
2100050048,1,S,G
2100050049,5,B,G
2100050050,5,B,G
2100050051,9,B,G
2100050052,2,S,R
2100050053,1,S,G
2100050054,0,S,R
2100050055,4,S,R
2100050056,0,S,R
2100050057,8,B,R
2100050058,1,S,G
2100050059,5,B,G
2100050060,2,S,R
2100050061,5,B,G
2100050062,5,B,G
2100050063,0,S,R
2100050064,9,B,G
2100050065,7,B,G
2100050066,6,B,R
2100050067,2,S,R
2100050068,8,B,R
2100050069,0,S,R
2100050070,6,B,R
2100050071,8,B,R
2100050072,5,B,G
2100050073,0,S,R
2100050074,1,S,G
2100050075,7,B,G
2100050076,2,S,R
2100050077,3,S,G
2100050078,1,S,G
2100050079,4,S,R
2100050080,2,S,R
2100050081,7,B,G
2100050082,9,B,G
2100050083,5,B,G
2100050084,5,B,G
2100050085,7,B,G
2100050086,7,B,G
2100050087,8,B,R
2100050088,9,B,G
2100050089,5,B,G
2100050090,3,S,G
2100050091,4,S,R
2100050092,9,B,G
2100050093,6,B,R
2100050094,9,B,G
2100050095,4,S,R
2100050096,9,B,G
2100050097,8,B,R
2100050098,5,B,G
2100050099,5,B,G
2100050100,4,S,R
2100050101,0,S,R
2100050102,4,S,R
2100050103,9,B,G
2100050104,4,S,R
2100050105,4,S,R
2100050106,9,B,G
2100050107,4,S,R
2100050108,1,S,G
2100050109,9,B,G
2100050110,3,S,G
2100050111,2,S,R
2100050112,5,B,G
2100050113,3,S,G
2100050114,0,S,R
2100050115,5,B,G
2100050116,5,B,G
2100050117,9,B,G
2100050118,6,B,R
2100050119,9,B,G
2100050120,8,B,R
2100050121,6,B,R
2100050122,8,B,R
2100050123,3,S,G
2100050124,5,B,G
2100050125,2,S,R
2100050126,1,S,G
2100050127,6,B,R
2100050128,5,B,G
2100050129,2,S,R
2100050130,8,B,R
2100050131,5,B,G
2100050132,0,S,R
2100050133,5,B,G
2100050134,3,S,G
2100050135,1,S,G
2100050136,9,B,G
2100050137,4,S,R
2100050138,3,S,G
2100050139,9,B,G
2100050140,8,B,R
2100050141,5,B,G
2100050142,6,B,R
2100050143,4,S,R
2100050144,9,B,G
2100050145,3,S,G
2100050146,3,S,G
2100050147,5,B,G
2100050148,6,B,R
2100050149,0,S,R
2100050150,2,S,R
2100050151,5,B,G
2100050152,4,S,R
2100050153,1,S,G
2100050154,6,B,R
2100050155,1,S,G
2100050156,8,B,R
2100050157,5,B,G
2100050158,1,S,G
2100050159,8,B,R
2100050160,4,S,R
2100050161,1,S,G
2100050162,8,B,R
2100050163,9,B,G
2100050164,7,B,G
2100050165,4,S,R
2100050166,8,B,R
2100050167,2,S,R
2100050168,9,B,G
2100050169,6,B,R
2100050170,5,B,G
2100050171,3,S,G
2100050172,1,S,G
2100050173,5,B,G
2100050174,1,S,G
2100050175,9,B,G
2100050176,6,B,R
2100050177,1,S,G
2100050178,2,S,R
2100050179,6,B,R
2100050180,1,S,G
2100050181,7,B,G
2100050182,6,B,R
2100050183,7,B,G
2100050184,4,S,R
2100050185,7,B,G
2100050186,3,S,G
2100050187,3,S,G
2100050188,8,B,R
2100050189,2,S,R
2100050190,7,B,G
2100050191,6,B,R
2100050192,2,S,R
2100050193,3,S,G
2100050194,6,B,R
2100050195,6,B,R
2100050196,8,B,R
2100050197,6,B,R
2100050198,1,S,G
2100050199,1,S,G
2100050200,3,S,G
2100050201,4,S,R
2100050202,6,B,R
2100050203,0,S,R
2100050204,0,S,R
2100050205,6,B,R
2100050206,7,B,G
2100050207,3,S,G
2100050208,5,B,G
2100050209,2,S,R
2100050210,4,S,R
2100050211,1,S,G
2100050212,9,B,G
2100050213,3,S,G
2100050214,7,B,G
2100050215,4,S,R
2100050216,5,B,G
2100050217,1,S,G
2100050218,6,B,R
2100050219,5,B,G
2100050220,6,B,R
2100050221,6,B,R
2100050222,1,S,G
2100050223,9,B,G
2100050224,3,S,G
2100050225,6,B,R
2100050226,9,B,G
2100050227,2,S,R
2100050228,3,S,G
2100050229,2,S,R
2100050230,4,S,R
2100050231,0,S,R
2100050232,3,S,G
2100050233,2,S,R
2100050234,7,B,G
2100050235,1,S,G
2100050236,6,B,R
2100050237,9,B,G
2100050238,1,S,G
2100050239,3,S,G
2100050240,7,B,G
2100050241,4,S,R
2100050242,7,B,G
2100050243,0,S,R
2100050244,6,B,R
2100050245,9,B,G
2100050246,5,B,G
2100050247,4,S,R
2100050248,0,S,R
2100050249,8,B,R
2100050250,6,B,R
2100050251,6,B,R
2100050252,6,B,R
2100050253,4,S,R
2100050254,0,S,R
2100050255,2,S,R
2100050256,4,S,R
2100050257,5,B,G
2100050258,5,B,G
2100050259,3,S,G
2100050260,4,S,R
2100050261,4,S,R
2100050262,3,S,G
2100050263,5,B,G
2100050264,2,S,R
2100050265,0,S,R
2100050266,6,B,R
2100050267,3,S,G
2100050268,2,S,R
2100050269,4,S,R
2100050270,9,B,G
2100050271,3,S,G
2100050272,0,S,R
2100050273,4,S,R
2100050274,9,B,G
2100050275,2,S,R
2100050276,9,B,G
2100050277,4,S,R
2100050278,7,B,G
2100050279,6,B,R
2100050280,5,B,G
2100050281,8,B,R
2100050282,7,B,G
2100050283,2,S,R
2100050284,7,B,G
2100050285,5,B,G
2100050286,7,B,G
2100050287,9,B,G
2100050288,0,S,R
2100050289,3,S,G
2100050290,0,S,R
2100050291,5,B,G
2100050292,7,B,G
2100050293,5,B,G
2100050294,3,S,G
2100050295,2,S,R
2100050296,6,B,R
2100050297,9,B,G
2100050298,7,B,G
2100050299,9,B,G
2100050300,4,S,R
2100050301,7,B,G
2100050302,2,S,R
2100050303,3,S,G
2100050304,9,B,G
2100050305,5,B,G
2100050306,9,B,G
2100050307,9,B,G
2100050308,1,S,G
2100050309,6,B,R
2100050310,3,S,G
2100050311,7,B,G
2100050312,1,S,G
2100050313,0,S,R
2100050314,7,B,G
2100050315,6,B,R
2100050316,9,B,G
2100050317,7,B,G
2100050318,5,B,G
2100050319,8,B,R
2100050320,7,B,G
2100050321,5,B,G
2100050322,2,S,R
2100050323,0,S,R
2100050324,7,B,G
2100050325,1,S,G
2100050326,1,S,G
2100050327,2,S,R
2100050328,6,B,R
2100050329,6,B,R
2100050330,5,B,G
2100050331,8,B,R
2100050332,7,B,G
2100050333,8,B,R
2100050334,0,S,R
2100050335,5,B,G
2100050336,1,S,G
2100050337,0,S,R
2100050338,0,S,R
2100050339,4,S,R
2100050340,2,S,R
2100050341,6,B,R
2100050342,1,S,G
2100050343,6,B,R
2100050344,8,B,R
2100050345,3,S,G
2100050346,0,S,R
2100050347,5,B,G
2100050348,3,S,G
2100050349,8,B,R
2100050350,2,S,R
2100050351,0,S,R
2100050352,6,B,R
2100050353,7,B,G
2100050354,0,S,R
2100050355,2,S,R
2100050356,1,S,G
2100050357,4,S,R
2100050358,5,B,G
2100050359,1,S,G
2100050360,7,B,G
2100050361,8,B,R
2100050362,7,B,G
2100050363,5,B,G
2100050364,8,B,R
2100050365,8,B,R
2100050366,8,B,R
2100050367,3,S,G
2100050368,5,B,G
2100050369,7,B,G
2100050370,8,B,R
2100050371,7,B,G
2100050372,5,B,G
2100050373,7,B,G
2100050374,8,B,R
2100050375,3,S,G
2100050376,3,S,G
2100050377,0,S,R
2100050378,2,S,R
2100050379,7,B,G
2100050380,8,B,R
2100050381,4,S,R
2100050382,2,S,R
2100050383,6,B,R
2100050384,0,S,R
2100050385,1,S,G
2100050386,4,S,R
2100050387,7,B,G
2100050388,2,S,R
2100050389,6,B,R
2100050390,0,S,R
2100050391,0,S,R
2100050392,3,S,G
2100050393,8,B,R
2100050394,2,S,R
2100050395,8,B,R
2100050396,9,B,G
2100050397,3,S,G
2100050398,4,S,R
2100050399,1,S,G
2100050400,2,S,R
2100050401,0,S,R
2100050402,0,S,R
2100050403,3,S,G
2100050404,0,S,R
2100050405,4,S,R
2100050406,3,S,G
2100050407,6,B,R
2100050408,3,S,G
2100050409,2,S,R
2100050410,8,B,R
2100050411,7,B,G
2100050412,0,S,R
2100050413,5,B,G
2100050414,3,S,G
2100050415,0,S,R
2100050416,8,B,R
2100050417,8,B,R
2100050418,7,B,G
2100050419,7,B,G
2100050420,1,S,G
2100050421,0,S,R
2100050422,3,S,G
2100050423,6,B,R
2100050424,2,S,R
2100050425,4,S,R
2100050426,1,S,G
2100050427,8,B,R
2100050428,5,B,G
2100050429,3,S,G
2100050430,4,S,R
2100050431,0,S,R
2100050432,9,B,G
2100050433,1,S,G
2100050434,7,B,G
2100050435,9,B,G
2100050436,4,S,R
2100050437,7,B,G
2100050438,3,S,G
2100050439,4,S,R
2100050440,4,S,R
2100050441,3,S,G
2100050442,0,S,R
2100050443,6,B,R
2100050444,1,S,G
2100050445,7,B,G
2100050446,2,S,R
2100050447,5,B,G
2100050448,3,S,G
2100050449,0,S,R
2100050450,3,S,G
2100050451,4,S,R
2100050452,8,B,R
2100050453,0,S,R
2100050454,4,S,R
2100050455,1,S,G
2100050456,4,S,R
2100050457,9,B,G
2100050458,6,B,R
2100050459,6,B,R
2100050460,9,B,G
2100050461,6,B,R
2100050462,3,S,G
2100050463,9,B,G
2100050464,2,S,R
2100050465,0,S,R
2100050466,5,B,G
2100050467,6,B,R
2100050468,8,B,R
2100050469,8,B,R
2100050470,1,S,G
2100050471,1,S,G
2100050472,2,S,R
2100050473,4,S,R
2100050474,6,B,R
2100050475,8,B,R
2100050476,1,S,G
2100050477,0,S,R
2100050478,4,S,R
2100050479,1,S,G
2100050480,2,S,R
2100050481,6,B,R
2100050482,6,B,R
2100050483,4,S,R
2100050484,5,B,G
2100050485,2,S,R
2100050486,5,B,G
2100050487,4,S,R
2100050488,6,B,R
2100050489,4,S,R
2100050490,0,S,R
2100050491,1,S,G
2100050492,0,S,R
2100050493,3,S,G
2100050494,1,S,G
2100050495,9,B,G
2100050496,8,B,R
2100050497,4,S,R
2100050498,3,S,G
2100050499,8,B,R
2100050500,2,S,R
2100050501,5,B,G
2100050502,0,S,R
2100050503,9,B,G
2100050504,8,B,R
2100050505,8,B,R
2100050506,6,B,R
2100050507,9,B,G
2100050508,1,S,G
2100050509,4,S,R
2100050510,5,B,G
2100050511,9,B,G
2100050512,7,B,G
2100050513,3,S,G
2100050514,8,B,R
2100050515,2,S,R
2100050516,3,S,G
2100050517,7,B,G
2100050518,1,S,G
2100050519,3,S,G
2100050520,1,S,G
2100050521,3,S,G
2100050522,4,S,R
2100050523,0,S,R
2100050524,7,B,G
2100050525,0,S,R
2100050526,9,B,G
2100050527,0,S,R
2100050528,9,B,G
2100050529,7,B,G
2100050530,3,S,G
2100050531,2,S,R
2100050532,4,S,R
2100050533,4,S,R
2100050534,8,B,R
2100050535,3,S,G
2100050536,8,B,R
2100050537,2,S,R
2100050538,5,B,G
2100050539,9,B,G
2100050540,6,B,R
2100050541,5,B,G
2100050542,3,S,G
2100050543,3,S,G
2100050544,5,B,G
2100050545,7,B,G
2100050546,2,S,R
2100050547,6,B,R
2100050548,4,S,R
2100050549,3,S,G
2100050550,7,B,G
2100050551,0,S,R
2100050552,8,B,R
2100050553,8,B,R
2100050554,1,S,G
2100050555,5,B,G
2100050556,2,S,R
2100050557,6,B,R
2100050558,5,B,G
2100050559,4,S,R
2100050560,3,S,G
2100050561,6,B,R
2100050562,8,B,R
2100050563,5,B,G
2100050564,0,S,R
2100050565,6,B,R
2100050566,5,B,G
2100050567,1,S,G
2100050568,4,S,R
2100050569,1,S,G
2100050570,2,S,R
2100050571,2,S,R
2100050572,5,B,G
2100050573,5,B,G
2100050574,4,S,R
2100050575,3,S,G
2100050576,1,S,G
2100050577,5,B,G
2100050578,5,B,G
2100050579,0,S,R
2100050580,0,S,R
2100050581,6,B,R
2100050582,7,B,G
2100050583,8,B,R
2100050584,0,S,R
2100050585,4,S,R
2100050586,6,B,R
2100050587,8,B,R
2100050588,3,S,G
2100050589,7,B,G
2100050590,7,B,G
2100050591,1,S,G
2100050592,1,S,G
2100050593,1,S,G
2100050594,1,S,G
2100050595,1,S,G
2100050596,3,S,G
2100050597,0,S,R
2100050598,3,S,G
2100050599,9,B,G
2100050600,5,B,G
2100050601,9,B,G
2100050602,5,B,G
2100050603,0,S,R
2100050604,4,S,R
2100050605,0,S,R
2100050606,7,B,G
2100050607,9,B,G
2100050608,6,B,R
2100050609,2,S,R
2100050610,9,B,G
2100050611,2,S,R
2100050612,7,B,G
2100050613,0,S,R
2100050614,0,S,R
2100050615,5,B,G
2100050616,2,S,R
2100050617,4,S,R
2100050618,8,B,R
2100050619,2,S,R
2100050620,7,B,G
2100050621,1,S,G
2100050622,3,S,G
2100050623,8,B,R
2100050624,2,S,R
2100050625,8,B,R
2100050626,2,S,R
2100050627,9,B,G
2100050628,4,S,R
2100050629,4,S,R
2100050630,4,S,R
2100050631,8,B,R
2100050632,3,S,G
2100050633,1,S,G
2100050634,9,B,G
2100050635,1,S,G
2100050636,8,B,R
2100050637,5,B,G
